"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"BGM-0123","Q2","401","10.686807980049874","42.854099999999995","42.04","35.225999999999999","11.872","9.1870000000000012","85.894000000000005","0.90300000000000002","0.89100000000000001","12.838999999999999","488.21899999999999","483.94299999999998","94.875","9.6940000000000008"
"BGM-0123","Q3","344","7.6379651162790703","26.2746","26.099999999999998","29.2","10.01","8","83.13","0.94","0.9","10.91","472.5","498.76","96.8","8.33"
"BGM-0123","Q4","310","7.2591290322580644","22.503299999999999","22.73","28.511000000000003","97.08","7.7959999999999994","79.950999999999993","0.93400000000000005","0.89600000000000002","10.576000000000001","521.82299999999998","490.44499999999999","94.751000000000005","8.1620000000000008"
"BGM-0133","Q1","534","8.9382022471910112","47.73","62.18","70.91","26.01","1.8809999999999998","71.472999999999999","0.94199999999999995","0.89200000000000002","29.09","204.11600000000001","201.19900000000001","103.18600000000001","1.99"
"BGM-0133","Q2","385","17.638961038961039","67.91","64.709999999999994","83.74","32.67","2.1659999999999999","54.076999999999998","0.94399999999999995","0.91100000000000003","37","101.392","97.763999999999996","113.83499999999999","2.2890000000000001"
"BGM-0133","Q3","411","17.849148418491485","73.36","78.08","86.94","33.53","2.2850000000000001","52.036000000000001","0.94499999999999995","0.90700000000000003","38.130000000000003","99.748999999999995","98.19","112.702","2.4129999999999998"
"BGM-0133","Q4","380","19.91578947368421","75.680000000000007","76.34","90.63","34.75","2.2960000000000003","56.543999999999997","1","0.875","39.31","99.867999999999995","101.176","111.61","2.452"
"BGM-0137","Q1","802","6.7406483790523692","54.06","105.76","77.42","27.66","1.9670000000000001","69.614999999999995","0.92600000000000005","0.89200000000000002","31.03","195.571","198.30500000000001","104.018","2.097"
"BGM-0137","Q2","584","13.044520547945206","76.180000000000007","110.12","92.12","35.46","2.2229999999999999","58.796999999999997","0.92","0.89700000000000002","40.18","99.822000000000003","99.055000000000007","115.16","2.4060000000000001"
"BGM-0137","Q3","594","16.232323232323232","96.42","148.33000000000001","10.455","38.369999999999997","2.4430000000000001","59.433","0.90300000000000002","0.88600000000000001","43.83","102.456","100.276","111.14","2.7069999999999999"
